videoId,authorDisplayName,publishedAt,updatedAt,likeCount,totalReplyCount,textDisplay,textStopWordsRemoved,textTokenized,textLemmatized,pos,posTag,posDependency,posShape,posAlpha,posStopWord,textEntityType
rDxrpSqYHD8,@wannafight3809,2023-11-01 17:12:37+00:00,2023-11-01 17:12:37+00:00,13,2,i want devilbrkazuya to be a character like in tekken 2,want devilbrkazuya character like tekken 2,"['want', 'devilbrkazuya', 'character', 'like', 'tekken', '2']","['want', 'devilbrkazuya', 'character', 'like', 'tekken', '2']","['VERB', 'PROPN', 'NOUN', 'INTJ', 'VERB', 'NUM']","['VB', 'NNP', 'NN', 'UH', 'VBN', 'CD']","['ROOT', 'compound', 'nsubj', 'mark', 'ccomp', 'dobj']","['xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'd']","[True, True, True, True, True, False]","[False, False, False, False, False, False]","['', '', '', '', '', 'CARDINAL']"
rDxrpSqYHD8,@argonauteathenae7182,2023-11-01 17:12:39+00:00,2023-11-01 17:12:39+00:00,0,0,microvaved cast but still going strong,microvaved cast going strong,"['microvaved', 'cast', 'going', 'strong']","['microvaved', 'cast', 'go', 'strong']","['PROPN', 'NOUN', 'VERB', 'ADJ']","['NNP', 'NN', 'VBG', 'JJ']","['compound', 'ROOT', 'acl', 'acomp']","['xxxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True]","[False, False, False, False]","['', '', '', '']"
rDxrpSqYHD8,@manuz4373,2023-11-01 17:13:34+00:00,2023-11-01 17:13:34+00:00,0,1,i am expecting anna william,expecting anna william,"['expecting', 'anna', 'william']","['expect', 'anna', 'william']","['VERB', 'PROPN', 'PROPN']","['VBG', 'NNP', 'NNP']","['ROOT', 'compound', 'dobj']","['xxxx', 'xxxx', 'xxxx']","[True, True, True]","[False, False, False]","['', 'PERSON', 'PERSON']"
rDxrpSqYHD8,@ndabskhumalo6164,2023-11-01 17:13:52+00:00,2023-11-01 17:13:52+00:00,0,0,ay alisas hair grew,ay alisas hair grew,"['ay', 'alisas', 'hair', 'grew']","['ay', 'alisas', 'hair', 'grow']","['PROPN', 'PROPN', 'PROPN', 'VERB']","['NNP', 'NNP', 'NNP', 'VBD']","['compound', 'compound', 'nsubj', 'ROOT']","['xx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True]","[False, False, False, False]","['', 'NORP', '', '']"
rDxrpSqYHD8,@albertosapere8602,2023-11-01 17:13:58+00:00,2023-11-01 17:13:58+00:00,0,0,the only one i want is bob,want bob,"['want', 'bob']","['want', 'bob']","['VERB', 'PROPN']","['VB', 'NNP']","['ROOT', 'punct']","['xxxx', 'xxx']","[True, True]","[False, False]","['', '']"
rDxrpSqYHD8,@marco39120,2023-11-01 17:14:06+00:00,2023-11-01 17:14:06+00:00,0,0,all right i saw dragunov so ill go ahead and pre order it was not going to do it until i knew my dude was there,right saw dragunov ill ahead pre order going knew dude,"['right', 'saw', 'dragunov', 'ill', 'ahead', 'pre', 'order', 'going', 'knew', 'dude']","['right', 'see', 'dragunov', 'ill', 'ahead', 'pre', 'order', 'going', 'know', 'dude']","['INTJ', 'VERB', 'PROPN', 'PROPN', 'ADV', 'ADJ', 'NOUN', 'AUX', 'VERB', 'NOUN']","['UH', 'VBD', 'NNP', 'NNP', 'RB', 'JJ', 'NN', 'VBG', 'VBN', 'NN']","['advmod', 'ROOT', 'nsubj', 'ccomp', 'advmod', 'amod', 'nsubj', 'auxpass', 'ccomp', 'ccomp']","['xxxx', 'xxx', 'xxxx', 'xxx', 'xxxx', 'xxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True, True, True, True, True, True, True]","[False, False, False, False, False, False, False, False, False, False]","['', '', '', '', '', '', '', '', '', '']"
rDxrpSqYHD8,@danyadanya1661,2023-11-01 17:14:14+00:00,2023-11-01 17:14:14+00:00,0,0,oh okaybrtwo bears and no anna williams why really harada pls add her,oh okaybrtwo bears anna williams harada pls add,"['oh', 'okaybrtwo', 'bears', 'anna', 'williams', 'harada', 'pls', 'add']","['oh', 'okaybrtwo', 'bear', 'anna', 'williams', 'harada', 'pls', 'add']","['INTJ', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB']","['UH', 'JJ', 'NNS', 'NNP', 'NNP', 'NNP', 'NNP', 'VB']","['intj', 'amod', 'nsubj', 'compound', 'compound', 'compound', 'appos', 'ROOT']","['xx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxx', 'xxx']","[True, True, True, True, True, True, True, True]","[False, False, False, False, False, False, False, False]","['', '', '', 'PERSON', 'PERSON', '', '', '']"
rDxrpSqYHD8,@TomYb-vs8vn,2023-11-01 17:14:30+00:00,2023-11-01 17:14:30+00:00,1,0,i want green ogre to be back,want green ogre,"['want', 'green', 'ogre']","['want', 'green', 'ogre']","['VERB', 'ADJ', 'NOUN']","['VB', 'JJ', 'NN']","['ROOT', 'amod', 'dobj']","['xxxx', 'xxxx', 'xxxx']","[True, True, True]","[False, False, False]","['', '', '']"
rDxrpSqYHD8,@newsephry1743,2023-11-01 17:14:31+00:00,2023-11-01 17:14:31+00:00,0,0,yes my boy lee is heree,yes boy lee heree,"['yes', 'boy', 'lee', 'heree']","['yes', 'boy', 'lee', 'heree']","['INTJ', 'INTJ', 'PROPN', 'PROPN']","['UH', 'UH', 'NNP', 'NNP']","['ROOT', 'intj', 'compound', 'appos']","['xxx', 'xxx', 'xxx', 'xxxx']","[True, True, True, True]","[False, False, False, False]","['', 'PERSON', 'PERSON', '']"
rDxrpSqYHD8,@jtru8989,2023-11-01 17:14:43+00:00,2023-11-01 17:14:43+00:00,1,0,roster is looking amazing for a starting roster and my favorite is not going to make it in well done tekken,roster looking amazing starting roster favorite going tekken,"['roster', 'looking', 'amazing', 'starting', 'roster', 'favorite', 'going', 'tekken']","['roster', 'look', 'amazing', 'start', 'roster', 'favorite', 'go', 'tekken']","['NOUN', 'VERB', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'VERB', 'VERB']","['NN', 'VBG', 'JJ', 'VBG', 'NN', 'NN', 'VBG', 'VBN']","['nsubj', 'acl', 'acomp', 'acl', 'compound', 'dobj', 'acl', 'ROOT']","['xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True, True, True, True, True]","[False, False, False, False, False, False, False, False]","['', '', '', '', '', '', '', '']"
