videoId,authorDisplayName,publishedAt,updatedAt,likeCount,totalReplyCount,textDisplay,textStopWordsRemoved,textTokenized,textLemmatized,textTekkenCharactersRemoved,pos,posTag,posDependency,posShape,posAlpha,posStopWord
rDxrpSqYHD8,@mohyyhmo9391,2023-11-01 17:04:34+00:00,2023-11-01 17:04:49+00:00,0,1,i pray to all drunken gods for lei to be in one of those two slots,pray drunken gods lei slots,"['pray', 'drunken', 'gods', 'lei', 'slots']","['pray', 'drunken', 'gods', 'lei', 'slot']","['pray', 'drunken', 'gods', 'slot']","['VERB', 'ADJ', 'PROPN', 'ADJ', 'NOUN']","['VB', 'JJ', 'NNPS', 'JJ', 'NNS']","['ROOT', 'amod', 'nmod', 'amod', 'dobj']","['xxxx', 'xxxx', 'xxxx', 'xxx', 'xxxx']","[True, True, True, True, True]","[False, False, False, False, False]"
rDxrpSqYHD8,@alfmustdie28,2023-11-01 17:05:00+00:00,2023-11-01 17:05:00+00:00,0,0,still no armor king god dammit,armor king god dammit,"['armor', 'king', 'god', 'dammit']","['armor', 'king', 'god', 'dammit']","['god', 'dammit']","['PROPN', 'PROPN', 'PROPN', 'VERB']","['NNP', 'NNP', 'NNP', 'VB']","['compound', 'compound', 'nsubj', 'ROOT']","['xxxx', 'xxxx', 'xxx', 'xxxx']","[True, True, True, True]","[False, False, False, False]"
rDxrpSqYHD8,@FATEYYYY,2023-11-01 17:05:06+00:00,2023-11-01 17:05:06+00:00,0,0,what about my akuma,akuma,['akuma'],['akuma'],['akuma'],['PROPN'],['NNP'],['ROOT'],['xxxx'],[True],[False]
rDxrpSqYHD8,@f.nation3437,2023-11-01 17:05:22+00:00,2023-11-01 17:05:22+00:00,0,0,steve looks awfull and his voice looks like a yo teenager,steve looks awfull voice looks like yo teenager,"['steve', 'looks', 'awfull', 'voice', 'looks', 'like', 'yo', 'teenager']","['steve', 'look', 'awfull', 'voice', 'look', 'like', 'yo', 'teenager']","['look', 'awfull', 'voice', 'look', 'like', 'yo', 'teenager']","['PROPN', 'VERB', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PROPN', 'NOUN']","['NNP', 'VBZ', 'JJ', 'NN', 'VBZ', 'IN', 'NNP', 'NN']","['nsubj', 'ROOT', 'amod', 'nsubj', 'ccomp', 'prep', 'compound', 'pobj']","['xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xx', 'xxxx']","[True, True, True, True, True, True, True, True]","[False, False, False, False, False, False, False, False]"
rDxrpSqYHD8,@4valongaming388,2023-11-01 17:06:01+00:00,2023-11-01 17:06:01+00:00,0,0,it just feels right to assume they somehow bring back kazuya again the other could be a first reveal and either a joke character like mokujin or lucky chloe or fan favourite like bob,feels right assume bring kazuya reveal joke character like mokujin lucky chloe fan favourite like bob,"['feels', 'right', 'assume', 'bring', 'kazuya', 'reveal', 'joke', 'character', 'like', 'mokujin', 'lucky', 'chloe', 'fan', 'favourite', 'like', 'bob']","['feel', 'right', 'assume', 'bring', 'kazuya', 'reveal', 'joke', 'character', 'like', 'mokujin', 'lucky', 'chloe', 'fan', 'favourite', 'like', 'bob']","['feel', 'right', 'assume', 'bring', 'kazuya', 'reveal', 'joke', 'character', 'like', 'fan', 'favourite', 'like']","['VERB', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'VERB', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP', 'PROPN']","['VBZ', 'JJ', 'NN', 'VB', 'NNP', 'VB', 'NN', 'NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'IN', 'NNP']","['ROOT', 'amod', 'dobj', 'advcl', 'compound', 'compound', 'compound', 'dobj', 'prep', 'compound', 'compound', 'compound', 'compound', 'pobj', 'prep', 'pobj']","['xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxx', 'xxxx', 'xxxx', 'xxx']","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
rDxrpSqYHD8,@VaibhavSingh-li2vp,2023-11-01 17:06:03+00:00,2023-11-01 17:06:03+00:00,0,0,sf mk and ed boon are dead now,sf mk ed boon dead,"['sf', 'mk', 'ed', 'boon', 'dead']","['sf', 'mk', 'ed', 'boon', 'dead']","['sf', 'mk', 'ed', 'boon', 'dead']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADJ']","['NNP', 'NNP', 'NNP', 'NNP', 'JJ']","['compound', 'compound', 'compound', 'ROOT', 'amod']","['xx', 'xx', 'xx', 'xxxx', 'xxxx']","[True, True, True, True, True]","[False, False, False, False, False]"
rDxrpSqYHD8,@lydiamcgowan2125,2023-11-01 17:06:17+00:00,2023-11-01 17:06:17+00:00,337,11,its great to have zafina panda lee devil jin and alisa back,great zafina panda lee devil jin alisa,"['great', 'zafina', 'panda', 'lee', 'devil', 'jin', 'alisa']","['great', 'zafina', 'panda', 'lee', 'devil', 'jin', 'alisa']",['great'],"['ADJ', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']","['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['amod', 'amod', 'compound', 'compound', 'compound', 'compound', 'ROOT']","['xxxx', 'xxxx', 'xxxx', 'xxx', 'xxxx', 'xxx', 'xxxx']","[True, True, True, True, True, True, True]","[False, False, False, False, False, False, False]"
rDxrpSqYHD8,@tonatiuhabrego1310,2023-11-01 17:06:36+00:00,2023-11-01 17:06:36+00:00,2,0,please please please bring back miguel hes one of the best characters in the series and has a beautifully animated fighting style,bring miguel s best characters series beautifully animated fighting style,"['bring', 'miguel', 's', 'best', 'characters', 'series', 'beautifully', 'animated', 'fighting', 'style']","['bring', 'miguel', 's', 'good', 'character', 'series', 'beautifully', 'animate', 'fight', 'style']","['bring', 's', 'good', 'character', 'series', 'beautifully', 'animate', 'fight', 'style']","['VERB', 'PROPN', 'PART', 'ADJ', 'NOUN', 'NOUN', 'ADV', 'VERB', 'VERB', 'NOUN']","['VB', 'NNP', 'POS', 'JJS', 'NNS', 'NN', 'RB', 'VBN', 'VBG', 'NN']","['ROOT', 'poss', 'case', 'amod', 'compound', 'dobj', 'advmod', 'amod', 'compound', 'dobj']","['xxxx', 'xxxx', 'x', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True, True, True, True, True, True, True]","[False, False, False, False, False, False, False, False, False, False]"
rDxrpSqYHD8,@johnmichaelsantamaria2298,2023-11-01 17:06:39+00:00,2023-11-01 17:06:39+00:00,0,0,delighted to get official confirmation of devil jins return as a seperate playable character,delighted official confirmation devil jins return seperate playable character,"['delighted', 'official', 'confirmation', 'devil', 'jins', 'return', 'seperate', 'playable', 'character']","['delight', 'official', 'confirmation', 'devil', 'jin', 'return', 'seperate', 'playable', 'character']","['delight', 'official', 'confirmation', 'return', 'seperate', 'playable', 'character']","['VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'NOUN']","['VBN', 'JJ', 'NN', 'NN', 'NNS', 'VBP', 'JJ', 'JJ', 'NN']","['amod', 'amod', 'compound', 'compound', 'nsubj', 'ROOT', 'amod', 'amod', 'dobj']","['xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True, True, True, True, True, True]","[False, False, False, False, False, False, False, False, False]"
rDxrpSqYHD8,@stevesardi4826,2023-11-01 17:06:43+00:00,2023-11-01 17:06:43+00:00,0,0,fuckin pissed there is no miguel,fuckin pissed miguel,"['fuckin', 'pissed', 'miguel']","['fuckin', 'piss', 'miguel']","['fuckin', 'piss']","['PROPN', 'VERB', 'PROPN']","['NNP', 'VBD', 'NNP']","['nsubj', 'ROOT', 'dobj']","['xxxx', 'xxxx', 'xxxx']","[True, True, True]","[False, False, False]"
rDxrpSqYHD8,@jtyt6806,2023-11-01 17:07:04+00:00,2023-11-01 17:07:04+00:00,0,0,l roster,l roster,"['l', 'roster']","['l', 'roster']","['l', 'roster']","['NOUN', 'NOUN']","['NN', 'NN']","['compound', 'ROOT']","['x', 'xxxx']","[True, True]","[False, False]"
