videoId,authorDisplayName,publishedAt,updatedAt,likeCount,totalReplyCount,textDisplay
rDxrpSqYHD8,@Tinus020172,2023-11-02 21:07:00+00:00,2023-11-02 21:07:00+00:00,2,0,Still don’t understand why we need a Kuma and Panda slot. Waste of character slot imo.
rDxrpSqYHD8,@jacobusvi6705,2023-11-02 21:08:53+00:00,2023-11-02 21:08:53+00:00,0,0,bro where is AK
rDxrpSqYHD8,@oscarix5625,2023-11-02 21:11:45+00:00,2023-11-02 21:11:45+00:00,2,0,Donde coño esta Miguel
rDxrpSqYHD8,@cieltv6046,2023-11-02 21:30:00+00:00,2023-11-02 21:30:00+00:00,0,0,so Shaheen and Zafina ... and no AK ......................
rDxrpSqYHD8,@bevinjames3154,2023-11-02 21:35:29+00:00,2023-11-02 21:35:29+00:00,0,0,(does Chaolan pose) Excellent! 👍
rDxrpSqYHD8,@alexzanderking1556,2023-11-02 21:44:09+00:00,2023-11-02 21:44:09+00:00,0,0,so is devil jIn his own character?
rDxrpSqYHD8,@velatacu,2023-11-02 21:45:02+00:00,2023-11-02 21:45:02+00:00,0,0,thanks god dj is in the game
rDxrpSqYHD8,@TheBombayMasterTony,2023-11-02 21:48:00+00:00,2023-11-02 21:48:00+00:00,0,0,&quot;You must live with your sins. You will only find atonement through solitude.&quot; - Devil Jin
rDxrpSqYHD8,@user-fm3xr9yz3i,2023-11-02 21:59:59+00:00,2023-11-02 21:59:59+00:00,0,0,WHERE IS LEI WULONG?
rDxrpSqYHD8,@Sparda8888,2023-11-02 22:00:51+00:00,2023-11-02 22:00:51+00:00,0,0,Dragunov is Coming Back!
rDxrpSqYHD8,@maaan278,2023-11-02 22:20:11+00:00,2023-11-02 22:20:11+00:00,1,0,"I&#39;m waiting for Lidia Sobieska, she is the only OG character of the new ones that I loved."
rDxrpSqYHD8,@maiconvilanova7223,2023-11-02 22:34:09+00:00,2023-11-02 22:34:09+00:00,0,0,Alisaaa ❤
rDxrpSqYHD8,@dimitarapostolov9788,2023-11-02 22:39:45+00:00,2023-11-02 22:39:45+00:00,0,0,No Anna... 😢
rDxrpSqYHD8,@leanbacksfinest,2023-11-02 22:46:31+00:00,2023-11-02 22:46:31+00:00,0,0,please add katarina alves woulkd be the biggest dream!
rDxrpSqYHD8,@tyvonnemackey5112,2023-11-02 22:53:02+00:00,2023-11-02 22:53:02+00:00,0,0,I need heihachi!!! 😭😭
rDxrpSqYHD8,@cristianmele5009,2023-11-02 22:58:05+00:00,2023-11-02 22:58:05+00:00,0,0,Ancora quel marocchino 😑
rDxrpSqYHD8,@steffou4087,2023-11-02 23:05:11+00:00,2023-11-02 23:06:04+00:00,0,0,"Pleaaaaaaaassssse , bruce come back !!!!!"
rDxrpSqYHD8,@flamehashira8199,2023-11-02 23:10:45+00:00,2023-11-02 23:11:58+00:00,2,1,I wish Bandai would add Baki Hanma and Yujiro Hanma to the game. That would be 🔥🔥🔥!
rDxrpSqYHD8,@CheekSpread,2023-11-02 23:27:51+00:00,2023-11-02 23:27:51+00:00,1,0,"The title says return of legends... I don&#39;t see roger,Alex or Mokujin"
rDxrpSqYHD8,@brunomiguel9693,2023-11-02 23:28:12+00:00,2023-11-02 23:28:12+00:00,0,0,Where is <br>Lucky chloe and Eddy 😢😢😢
rDxrpSqYHD8,@Draconius1000,2023-11-02 23:34:18+00:00,2023-11-02 23:34:18+00:00,1,2,good roadster
rDxrpSqYHD8,@GohTakeshita,2023-11-02 23:59:45+00:00,2023-11-02 23:59:45+00:00,2,0,No Julia or Bruce/Josie archetype...😢
rDxrpSqYHD8,@rdot1447,2023-11-03 00:19:12+00:00,2023-11-03 00:19:12+00:00,0,0,no Eddy Gordo my main for 20+ years guess we on Bruce now
rDxrpSqYHD8,@Damon-ul4zy,2023-11-03 00:33:14+00:00,2023-11-03 00:33:14+00:00,0,0,"Lei Wulong, aaaaaah , <br>where are you🫣"
rDxrpSqYHD8,@PhoenixFeather09,2023-11-03 00:38:46+00:00,2023-11-03 00:38:46+00:00,14,0,I am glad to see Zafina. I love her fighting style
rDxrpSqYHD8,@slicksilver2961,2023-11-03 00:39:28+00:00,2023-11-03 00:39:28+00:00,206,6,"Not only am I hyped to see Lee back, and Yoshimitsu having a Tekken 3 like look to his newest drip, I’m so happy to see Devil Jin get some characterization through his drip AND from his voice actor Isshin Chiba. I’m really getting Sukuna from JJK vibes and I love it. I can’t wait for this game"
rDxrpSqYHD8,@juanikko97,2023-11-03 00:40:39+00:00,2023-11-03 00:40:39+00:00,0,0,A new version of MIGUEL please 🥲🙏🏼
